county,precinct,office,district,party,candidate,votes
Indiana,Armagh,Registered Voters,,,,44
Indiana,Armagh,Registered Voters,,DEM,,15
Indiana,Armagh,Registered Voters,,REP,,29
Indiana,Armagh,Registered Voters,,NPA,,0
Indiana,Armagh,Ballots Cast,,,,25
Indiana,Armagh,Ballots Cast,,DEM,,9
Indiana,Armagh,Ballots Cast,,REP,,16
Indiana,Armagh,Ballots Cast,,NPA,,0
Indiana,Armstrong #1,Registered Voters,,,,441
Indiana,Armstrong #1,Registered Voters,,DEM,,153
Indiana,Armstrong #1,Registered Voters,,REP,,288
Indiana,Armstrong #1,Registered Voters,,NPA,,0
Indiana,Armstrong #1,Ballots Cast,,,,202
Indiana,Armstrong #1,Ballots Cast,,DEM,,78
Indiana,Armstrong #1,Ballots Cast,,REP,,124
Indiana,Armstrong #1,Ballots Cast,,NPA,,0
Indiana,Armstrong #2,Registered Voters,,,,1170
Indiana,Armstrong #2,Registered Voters,,DEM,,357
Indiana,Armstrong #2,Registered Voters,,REP,,813
Indiana,Armstrong #2,Registered Voters,,NPA,,0
Indiana,Armstrong #2,Ballots Cast,,,,513
Indiana,Armstrong #2,Ballots Cast,,DEM,,151
Indiana,Armstrong #2,Ballots Cast,,REP,,362
Indiana,Armstrong #2,Ballots Cast,,NPA,,0
Indiana,Banks,Registered Voters,,,,457
Indiana,Banks,Registered Voters,,DEM,,119
Indiana,Banks,Registered Voters,,REP,,338
Indiana,Banks,Registered Voters,,NPA,,0
Indiana,Banks,Ballots Cast,,,,208
Indiana,Banks,Ballots Cast,,DEM,,43
Indiana,Banks,Ballots Cast,,REP,,165
Indiana,Banks,Ballots Cast,,NPA,,0
Indiana,Blacklick,Registered Voters,,,,739
Indiana,Blacklick,Registered Voters,,DEM,,267
Indiana,Blacklick,Registered Voters,,REP,,472
Indiana,Blacklick,Registered Voters,,NPA,,0
Indiana,Blacklick,Ballots Cast,,,,351
Indiana,Blacklick,Ballots Cast,,DEM,,122
Indiana,Blacklick,Ballots Cast,,REP,,229
Indiana,Blacklick,Ballots Cast,,NPA,,0
Indiana,Blairsville #1,Registered Voters,,,,596
Indiana,Blairsville #1,Registered Voters,,DEM,,287
Indiana,Blairsville #1,Registered Voters,,REP,,309
Indiana,Blairsville #1,Registered Voters,,NPA,,0
Indiana,Blairsville #1,Ballots Cast,,,,238
Indiana,Blairsville #1,Ballots Cast,,DEM,,122
Indiana,Blairsville #1,Ballots Cast,,REP,,116
Indiana,Blairsville #1,Ballots Cast,,NPA,,0
Indiana,Blairsville #2,Registered Voters,,,,646
Indiana,Blairsville #2,Registered Voters,,DEM,,310
Indiana,Blairsville #2,Registered Voters,,REP,,336
Indiana,Blairsville #2,Registered Voters,,NPA,,0
Indiana,Blairsville #2,Ballots Cast,,,,227
Indiana,Blairsville #2,Ballots Cast,,DEM,,101
Indiana,Blairsville #2,Ballots Cast,,REP,,126
Indiana,Blairsville #2,Ballots Cast,,NPA,,0
Indiana,Blairsville #3,Registered Voters,,,,715
Indiana,Blairsville #3,Registered Voters,,DEM,,348
Indiana,Blairsville #3,Registered Voters,,REP,,367
